,,GRE词以类记,
508,capsule,n.太空舱； 胶囊,张红岩：list004
509,flag,n.旗；标记,张红岩：list004
510,mushroom,n.蘑菇,张红岩：list004
511,greenhouse,n.温室； 花房,张红岩：list004
512,plough,vt.耕；犁耕  n.犁,张红岩：list004
513,weed,n.野草；杂草  vt.除草；铲除,张红岩：list004
514,grain,n.谷物;谷类植物,张红岩：list004
515,ecology,n.  生态;生态学,张红岩：list004
516,botany,n.植物学,张红岩：list004
517,bulb,n.电灯泡；球状物；球茎,张红岩：list004
518,prairie,n.大草原；草地,张红岩：list004
519,spear,n.矛；枪；梭镖,张红岩：list004
520,bark,n.（指狗等）吠叫；似犬叫的声音,张红岩：list004
521,barren,n.(指土地)贫瘠的,张红岩：list004
522,acorn,"n.橡实,橡子",张红岩：list004
523,agrarian,adj. 土地的,张红岩：list004
524,agronomy,"n. 农学, 农艺学",张红岩：list004
525,arboreal,adj. 树木的,张红岩：list004
526,arboretum,n.植物园,张红岩：list004
527,aspen,n.白杨,张红岩：list004
528,atrophy,"n. vi.萎缩,衰退",张红岩：list004
529,bark,vi. vt.狗吠; n.树皮,张红岩：list004
530,barren,"adj.不育的,贫瘠的, 不结果实的",张红岩：list004
531,blight,n.植物枯萎病; vi. vt.使…枯萎,张红岩：list004
532,botany,n. 植物学,张红岩：list004
533,bouquet,n.花束; 芳香,张红岩：list004
534,bud,n. 芽; 花蕾,张红岩：list004
535,bulb,n. 植物的球茎,张红岩：list004
536,capsule,n. 荚; 胶囊,张红岩：list004
537,cereal,n.谷类; 谷类食品,张红岩：list004
538,chaff,"n.谷物的皮壳,米糠",张红岩：list004
539,chrysanthemum,"n. 菊,菊花",张红岩：list004
540,cob,n. 玉米棒子; 长圆面包,张红岩：list004
541,cone,n. 松果; 圆锥体,张红岩：list004
542,conifer,n. 针叶树,张红岩：list004
543,core,n. 果心; 核心vt. 去掉某物的中心部分,张红岩：list004
544,cultivate,vt. 种植; 向...讨好,张红岩：list004
545,cultivated,adj.耕种的，栽植的；有修养的,张红岩：list004
546,cypress,n. 柏树,张红岩：list004
547,fallow,n. 休闲的土地; adj.[土地]休闲的,张红岩：list004
548,fatten,vi. vt. 使长肥; 使土壤肥沃; 装满,张红岩：list004
549,fern,"n.羊齿植物,蕨",张红岩：list004
550,fertile,n.多产的; 肥沃的,张红岩：list004
551,fertilize,"vt. 受精,受粉; 施肥",张红岩：list004
552,fertilizer,"n.肥料,化肥",张红岩：list004
553,fig,"n.无花果,一点儿",张红岩：list004
554,flaggy,"adj.枯萎的,松软无力的",张红岩：list004
555,flax,n.亚麻,张红岩：list004
556,flora,n.(某地区或时代的)植物群,张红岩：list004
557,foliage,n. 叶子(总称),张红岩：list004
558,forage,"n. (牛马的)饲料,粮草; vi. vt. 搜寻,翻寻",张红岩：list004
559,forestry,n.森林学；林产；林地,张红岩：list004
560,frond,n.羊齿(fern)、棕榈等的叶子,张红岩：list004
561,fungi,n.菌类,张红岩：list004
562,gardenia,n. 栀子花,张红岩：list004
563,genus,n.(动植物的)属,张红岩：list004
564,germinate,vi. vt. 发芽; 发展,张红岩：list004
565,ginger,"n. 姜,活力",张红岩：list004
566,graft,"vt. 嫁接,移植; n. 贪污",张红岩：list004
567,graze,vt. (动物)吃(地上长的)草; 放牧,张红岩：list004
568,greenhouse,"n. 花房,温室",张红岩：list004
569,grove,"n. 小树林,树丛",张红岩：list004
570,gum,"n.橡皮, 树胶",张红岩：list004
571,herbaceous,adj. 草本植物的,张红岩：list004
572,horticulture,n. 园艺学,张红岩：list004
573,hull,n. 外壳; 荚; 船身; vt.剥去外壳,张红岩：list004
574,husbandry,"n. 耕种,务农",张红岩：list004
575,husk,"n. 外壳; 皮,荚",张红岩：list004
576,kernel,n. 果仁; 核心,张红岩：list004
577,maize,n. 玉米,张红岩：list004
578,manure,n. 粪肥 vt. 给...施肥,张红岩：list004
579,maple,n. 枫树,张红岩：list004
580,melon,n. 甜瓜,张红岩：list004
581,menthol,n. 薄荷醇,张红岩：list004
582,oak,n. 橡树,张红岩：list004
583,pecan,n. 山核桃,张红岩：list004
584,petal,n. 花瓣,张红岩：list004
585,pine,n. 松树; vi. (因疾病等)憔悴; 渴望,张红岩：list004
586,pod,n. 豆荚; vi. vt. 剥掉(豆荚),张红岩：list004
587,pollen,n. 花粉,张红岩：list004
588,pollinate,vt. 给...授粉,张红岩：list004
589,provender,"n.(牛马吃的)草料,粮秣",张红岩：list004
590,raisin,n.葡萄干,张红岩：list004
591,reap,vi. vt.收割，收获,张红岩：list004
592,reed,n. 芦苇;簧片,张红岩：list004
593,rhubarb,n. (植物)大黄; n. vi.喧闹,张红岩：list004
594,sap,"n. 树液,活力; vt.消弱,耗尽",张红岩：list004
595,scion,n. 嫩芽; 子孙,张红岩：list004
596,scrub,n. 矮树丛; 身体矮小的人,张红岩：list004
597,scythe,n. 大镰刀,张红岩：list004
598,seedling,n. 幼苗,张红岩：list004
599,sere,"adj.干枯的,凋萎的",张红岩：list004
600,shrub,n. 灌木,张红岩：list004
601,sod,"n. 草地,草坪",张红岩：list004
602,spackle,n. 填泥料(用以填塞裂缝和洞穴),张红岩：list004
603,spear,n.矛尖; 嫩叶; vi. vt.刺戳,张红岩：list004
604,sprig,"n.嫩枝,小枝",张红岩：list004
605,sprout,"vi. vt. 长出,萌芽; n. 嫩芽",张红岩：list004
606,spruce,n.云杉; adj.整洁的,张红岩：list004
607,stem,"n.(植物的)茎,叶柄; vi. vt.阻止,遏制(水流等)",张红岩：list004
608,sterile,adj.不孕的; 无细菌的,张红岩：list004
609,tare,"n.莠草,杂草",张红岩：list004
610,terrace,n.一层梯田; 阳台,张红岩：list004
611,thicket,"n.树丛,灌木丛",张红岩：list004
612,timber,n.木材; (人)品质,张红岩：list004
613,trunk,n.树干; 大衣箱,张红岩：list004
614,tuber,"n.块茎,球根",张红岩：list004
615,twig,"n.小枝,嫩枝;",张红岩：list004
616,vanilla,"n.香草,香子兰",张红岩：list004
617,violet,n. 紫罗兰; adj. 紫罗兰色的,张红岩：list004
618,weed,n.杂草，野草；vi. vt.除草,张红岩：list004
619,willow,n.柳树,张红岩：list004
620,wilt,"vt.使...凋谢,枯萎",张红岩：list004
621,wither,"vi. vt.枯萎,凋零",张红岩：list004
622,xerophyte,n.旱生植物,张红岩：list004
623,acarpous,adj. 不结果实的,张红岩：list004
624,almond,"n. 杏树,杏仁",张红岩：list004
625,beet,n. 甜菜,张红岩：list004
626,blossom,n. 花; vi.指树木开花,张红岩：list004
627,bough,n.粗大的树枝或树干,张红岩：list004
628,cactus,n. 仙人掌,张红岩：list004
629,cursive,adj. 草书的,张红岩：list004
630,defoliate,vt. (使)落叶,张红岩：list004
631,florescence,n.繁花时期,张红岩：list004
632,fodder,n. 草料,张红岩：list004
633,granary,"n. 谷仓,粮仓",张红岩：list004
634,heliotrope,n. 向阳植物,张红岩：list004
635,loam,n. 沃土,张红岩：list004
636,nestle,vi. vt. 舒适地安顿; 依偎,张红岩：list004
637,oatmeal,n.燕麦片,张红岩：list004
638,sapling,"n. 树苗,年轻人",张红岩：list004
639,shrivel,"vt.枯萎,皱缩",张红岩：list004
640,thresh,"vi. vt. 打谷, 脱粒",张红岩：list004
641,wizen,adj. 凋谢的，枯萎的,张红岩：list004
642,windfall,n.风吹落的果实;意外的好运,张红岩：list004
643,needle,n.松针，针状物,张红岩：list004
644,orchard,n.果园,张红岩：list004
645,whorl,n.轮生体；环生体,张红岩：list004
646,seaweed,n.海藻,张红岩：list004
647,irrigate,v.灌溉;冲洗(伤口),张红岩：list004
648,tiller,n.耕种者；农夫,张红岩：list004
649,humus,n.腐殖质,张红岩：list004
650,nutrient,n.营养物质  adj.有营养的,张红岩：list005
651,painkiller,n.止痛药；解痛物,张红岩：list005
652,insane,adj.精神错乱的;疯狂的,张红岩：list005
653,contagious,adj.(指疾病)接触(传)染 的;(情绪等)感染性的,张红岩：list005
654,diagnose,vt.诊断(疾病);断定 vi.诊断;判断,张红岩：list005
655,immune,adj.免疫的;有免疫力的; 免除的;豁免的,张红岩：list005
656,infection,n.感染;传染病,张红岩：list005
657,wanderlust,n.漫游癖,张红岩：list005
658,vaccine,n.疫苗；菌苗,张红岩：list005
659,hygiene,n.卫生（学）,张红岩：list005
660,penicillin,n.青霉素,张红岩：list005
661,opium,n.鸦片,张红岩：list005
662,prescription,n.处方;药方,张红岩：list005
663,psychology,n.心理学,张红岩：list005
664,abscission,"n. 切除,截去; [植] 脱离",张红岩：list005
665,acrophobia,n. 恐高症,张红岩：list005
666,ail,vi. vt.生病,张红岩：list005
667,alimentary,"adj. 饮食的, 营养的",张红岩：list005
668,allergic,n. 过敏的; 对…讨厌的,张红岩：list005
669,amnesia,n. 健忘症,张红岩：list005
670,analgesic,n. 镇痛剂; adj. 止痛的,张红岩：list005
671,anatomical,adj. 解剖学的,张红岩：list005
672,anemia,"n.贫血,贫血症",张红岩：list005
673,anorexia,n. 厌食症,张红岩：list005
674,antibiotic,n. 抗生素;adj. 抗菌的,张红岩：list005
675,antibody,n.抗体(身体中的抗病物质),张红岩：list005
676,antidote,n.解毒药,张红岩：list005
677,antihistamine,n. (治疗过敏的)抗组胺剂,张红岩：list005
678,apoplectic,"adj.中风的, 愤怒的",张红岩：list005
679,arthritis,n. 关节炎,张红岩：list005
680,asphyxiate,"vi. vt. (使)无法呼吸,窒息而死",张红岩：list005
681,asthma,n. 哮喘症,张红岩：list005
682,astringent,"adj. 止血的,收缩的; n. 收缩剂,止血剂",张红岩：list005
683,balm,"n.香油,药膏,镇痛剂",张红岩：list005
684,blotch,n. (皮肤上的)红斑点; (墨水等)大斑点,张红岩：list005
685,carcinogen,n. 致癌物,张红岩：list005
686,cauterize,vt. (用腐蚀性物质或烙铁)烧灼(表皮组织)以消毒或止血,张红岩：list005
687,clinical,adj.临床的; 冷静客观的,张红岩：list005
688,collapse,"vi. vt. 坍塌, 塌陷;指人晕倒",张红岩：list005
689,coma,n. 昏迷状态,张红岩：list005
690,comatose,adj. 昏迷的,张红岩：list005
691,concussion,n. 脑震荡; 强烈震动,张红岩：list005
692,contagious,"adj. 传染的,有感染力的",张红岩：list005
693,convalesce,"vt. (病)康复,复原",张红岩：list005
694,convalescent,n. adj. 康复中的(病人),张红岩：list005
695,corpuscle,"n. 血球,细胞",张红岩：list005
696,diabetes,n.糖尿病,张红岩：list005
697,diagnose,"vi. vt. 判断,诊断",张红岩：list005
698,dose,"n. 剂量,一剂",张红岩：list005
699,dyslexia,n. 阅读障碍,张红岩：list005
700,dyspeptic,adj.消化不良的; 不高兴的,张红岩：list005
701,epidemic,"adj. 传染性的,流行性的",张红岩：list005
702,fester,"vi. vt. (指伤口)溃烂,化",张红岩：list005
703,fracture,n. 骨折; 折断;裂口,张红岩：list005
704,frantic,"adj. 疯狂的,狂乱的",张红岩：list005
705,frenetic,"adj. 狂乱的,发狂的",张红岩：list005
706,fumigate,vt. 以烟熏消毒,张红岩：list005
707,fungicide,n. 杀真菌剂,张红岩：list005
708,gerontology,n. 老人病学,张红岩：list005
709,heal,vi. vt. 治愈,张红岩：list005
710,hemophilia,"n. 血友病,出血不止",张红岩：list005
711,hemorrhage,n. 出血(尤指大出血),张红岩：list005
712,hemostat,n. 止血器; 止血剂,张红岩：list005
713,hypertension,n. 高血压,张红岩：list005
714,hypnotic,adj. 催眠的 n. 催眠药,张红岩：list005
715,hysteria,n. 歇斯底里症; 过度兴奋,张红岩：list005
716,immune,adj. 免疫的; 免除的,张红岩：list005
717,immunity,n. 免疫; 豁免,张红岩：list005
718,immunize,vt. 使免疫,张红岩：list005
719,infection,"n. 传染,感染",张红岩：list005
720,inflamed,adj.发炎的,张红岩：list005
721,injection,n. 注射; 注射剂,张红岩：list005
722,inoculate,vt. 预防注射,张红岩：list005
723,insomnia,n. 失眠症,张红岩：list005
724,irremediable,adj.无法治愈的，无法纠正的,张红岩：list005
725,lancet,n. 手术刀,张红岩：list005
726,laxative,adj. 通便的; 放松的; n. 轻泻药,张红岩：list005
727,mania,n. 癫狂; 狂热,张红岩：list005
728,measly,"adj.患麻疹的,小得可怜的",张红岩：list005
729,monomania,"n. 偏狂症,狂热病",张红岩：list005
730,morbid,"adj. 病态的,不正常的",张红岩：list005
731,myopia,"n. 近视,缺乏远见",张红岩：list005
732,myopic,adj. 近视眼的; 缺乏辨别力的,张红岩：list005
733,narcotic,n. 催眠药; adj. 催眠的,张红岩：list005
734,neurology,n. 神经学,张红岩：list005
735,nostrum,n. 秘方药; 万灵丹,张红岩：list005
736,nurture,vt.抚育，给…营养物，教养；n.养育，营养物；(总称)环境因素,张红岩：list005
737,nutrient,n.滋养物质,张红岩：list005
738,orthodontics,n. 畸齿矫正学,张红岩：list005
739,overdose,n. (药物)过度剂量,张红岩：list005
740,painkiller,n. 止痛药,张红岩：list005
741,palliative,n.缓释剂；adj.减轻的，缓和的,张红岩：list005
742,pallid,"adj. 苍白的,没血色的",张红岩：list005
743,panacea,n. 万灵药,张红岩：list005
744,paranoia,n. 偏执狂; 多疑症,张红岩：list005
745,paranoid,"adj. 偏执狂,过分怀疑的",张红岩：list005
746,pasteurize,"vt. 以高热杀菌,消毒",张红岩：list005
747,pathogen,n.病原体,张红岩：list005
748,pathology,n. 病理学,张红岩：list005
749,pediatrics,n. 小儿科,张红岩：list005
750,pharmaceutical,adj. 制药的,张红岩：list005
751,placebo,n. 安慰剂,张红岩：list005
752,plague,n. 瘟疫; 讨厌的人或物; vt. 烦扰;,张红岩：list005
753,podiatrist,n.足医,张红岩：list005
754,prescribe,vt. 开处方;规定,张红岩：list005
755,prescription,n. 处方(上的药),张红岩：list005
756,psychology,n.心理学，心理状态,张红岩：list005
757,purgative,n.泻药,张红岩：list005
758,quarantine,"n.隔离检疫期,隔离",张红岩：list005
759,rabid,adj.患狂犬病的; 失去理性的,张红岩：list005
760,rabies,n.狂犬病；恐水病,张红岩：list005
761,reagent,n.试剂(导致化学反应),张红岩：list005
762,recuperate,"vi. vt. 恢复(健康),复原",张红岩：list005
763,relapse,"n. 旧病复发; 再恶化; vi. 旧病复发,再恶化",张红岩：list005
764,salubrious,adj. 有益健康的,张红岩：list005
765,salutary,"adj. 有益的,有益健康的",张红岩：list005
766,salve,"n. 药膏; vt. 减轻,缓和",张红岩：list005
767,scalpel,"n. 外科手术刀,解剖刀",张红岩：list005
768,sedative,adj. (药物)镇静的; n. 镇静剂,张红岩：list005
769,septic,"adj. 受感染的,腐败的",张红岩：list005
770,soporific,adj.催眠的; n安眠药,张红岩：list005
771,stammer,"vi. vt.口吃,结巴",张红岩：list005
772,sterilize,"vt.使不育,杀菌",张红岩：list005
773,stethoscope,n.听诊器,张红岩：list005
774,stutter,"vt.口吃,结巴; n.口吃,结巴",张红岩：list005
775,suffocate,vt.(使)窒息而死,张红岩：list005
776,syndrome,n. 综合症状,张红岩：list005
777,syringe,n.注射器,张红岩：list005
778,therapeutic,adj.治病的,张红岩：list005
779,tourniquet,n.止血带,张红岩：list005
780,ulcer,n.溃疡；腐烂物,张红岩：list005
781,unguent,"n.药膏,软膏",张红岩：list005
782,vaccinate,vt. 给...接种疫苗,张红岩：list005
783,vaccine,"n.牛痘苗,疫苗",张红岩：list005
784,wan,adj.虚弱的; 病态的,张红岩：list005
785,wanderlust,"n.漫游癖,旅游热",张红岩：list005
786,wholesome,adj. 促进健康的,张红岩：list005
787,ailment,n.(不严重的)疾病,张红岩：list005
788,albino,n. 白化病者，白化变种,张红岩：list005
789,amputate,vt.截肢,张红岩：list005
790,anemic,adj. 贫血的，患贫血症的,张红岩：list005
791,anodyne,n. 止痛药,张红岩：list005
792,canker,n.溃疡病; 祸害,张红岩：list005
793,cordial,adj.热诚的,张红岩：list005
794,depressant,adj. 有镇静作用的；n. 镇静剂,张红岩：list005
795,derangement,n. 精神错乱,张红岩：list005
796,dietetics,"n.饮食学,营养学",张红岩：list005
797,dipsomania,n. 嗜酒症,张红岩：list005
798,dissection,"vi.解剖,剖析",张红岩：list005
799,elixir,"n.万灵药,长生不老药",张红岩：list005
800,eviscerate,vi. vt. 取出肠及内脏,张红岩：list005
801,febrile,"adj.发烧的,热病的",张红岩：list005
802,gastritis,n. 胃炎,张红岩：list005
803,hamstring,vt. 切断腿筋使成跛腿，使残废,张红岩：list005
